snr_db,drop_index,radius_m,azimuth_deg,los,scheme,estimator,crc_ok,bit_errors,nmse,selected_ssb,reference_power
0.0,0,102.29018737268659,56.176761724585816,False,baseline,lmmse,True,0,0.07892374222312526,0,6.475757054028239e-10
0.0,0,102.29018737268659,56.176761724585816,False,pol_cycling,lmmse,True,0,0.06528162978174096,0,6.475757054028239e-10
0.0,0,102.29018737268659,56.176761724585816,False,beam_cycling,lmmse,True,0,0.07178276166664284,0,6.475757054028239e-10
0.0,0,102.29018737268659,56.176761724585816,False,beam_cdd,lmmse,True,0,0.01651558878204412,0,6.475757054028239e-10
10.0,0,102.29018737268659,56.176761724585816,False,baseline,lmmse,True,0,0.00995858720332386,0,6.475757054028239e-10
10.0,0,102.29018737268659,56.176761724585816,False,pol_cycling,lmmse,True,0,0.008388658495372878,0,6.475757054028239e-10
10.0,0,102.29018737268659,56.176761724585816,False,beam_cycling,lmmse,True,0,0.009232766348100272,0,6.475757054028239e-10
10.0,0,102.29018737268659,56.176761724585816,False,beam_cdd,lmmse,True,0,0.003076631322704482,0,6.475757054028239e-10
20.0,0,102.29018737268659,56.176761724585816,False,baseline,lmmse,True,0,0.0012152603193460818,0,6.475757054028239e-10
20.0,0,102.29018737268659,56.176761724585816,False,pol_cycling,lmmse,True,0,0.0010095647896680843,0,6.475757054028239e-10
20.0,0,102.29018737268659,56.176761724585816,False,beam_cycling,lmmse,True,0,0.001085456245199943,0,6.475757054028239e-10
20.0,0,102.29018737268659,56.176761724585816,False,beam_cdd,lmmse,True,0,0.0004105190740133526,0,6.475757054028239e-10
30.0,0,102.29018737268659,56.176761724585816,False,baseline,lmmse,True,0,0.00014889146016274055,0,6.475757054028239e-10
30.0,0,102.29018737268659,56.176761724585816,False,pol_cycling,lmmse,True,0,0.0001254902589103818,0,6.475757054028239e-10
30.0,0,102.29018737268659,56.176761724585816,False,beam_cycling,lmmse,True,0,0.00013333626190808266,0,6.475757054028239e-10
30.0,0,102.29018737268659,56.176761724585816,False,beam_cdd,lmmse,True,0,8.512596762164002e-05,0,6.475757054028239e-10
